ticker,weight
NSE:ATLANTAELE,0.0699
NSE:MANORAMA,0.0684
NSE:METROPOLIS,0.0625
NSE:ARVIND,0.0598
NSE:BORORENEW,0.0588
NSE:GOKULAGRO,0.0567
NSE:WABAG,0.0561
NSE:THYROCARE,0.0558
NSE:CERA,0.0556
NSE:JAMNAAUTO,0.0538
NSE:SMLMAH,0.0533
NSE:PARKHOSPS,0.0532
NSE:TANLA,0.0530
NSE:PRIVISCL,0.0528
NSE:GRINDWELL,0.0521
NSE:CRAMC,0.0474
NSE:PRUDENT,0.0466
NSE:DATAMATICS,0.0440
